[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
